index,food_id,name,category,kcal,protein,nacl,potassium,phosphate
35,69455,Joghurt aus Frischmilch 3.5 % Fett,Milch und Milchprodukte,61,3.3,0.1,157,102
36,69456,Kabeljau (Dorsch),Fleisch Wurst Fisch Eier,77,17.7,0.0,352,194
37,69457,Kaffee (Getränk),Getränke,2,0.2,0.0,66,2
38,69458,Kartoffel gekocht mit Schale,Kartoffeln Nudeln und Reis,70,2.1,0.0,416,50
39,69459,Kartoffelchips,Kartoffeln Nudeln und Reis,535,5.5,1.2,1000,147
40,69460,Kirsche,Obst,63,0.9,0.0,210,20
41,69461,Knäckebrot,Brot Gebäck Pizza,358,11.1,2.0,189,135
42,69462,Konfitline Gelée Marmeladen,Aufstriche,299,0.1,0.0,57,4
43,69463,Kopfsalat,Gemüse und Salate,12,1.3,0.0,224,33
44,69464,Kuhmilch 3.5 % Fett,Milch und Milchprodukte,65,3.4,0.0,141,92
45,69465,Laugengebäck,Brot Gebäck Pizza,340,9.4,2.0,129,160
46,69466,Leber Kalb,Fleisch Wurst Fisch Eier,130,19.2,0.0,316,306
47,69467,Leberwurst fein,Fleisch Wurst Fisch Eier,337,15.9,2.0,215,181
48,69468,Mandarinen,Obst,50,0.7,0.0,210,20
49,69469,Mango,Obst,60,0.6,0.0,190,13
50,69470,Matjesfilet,Fleisch Wurst Fisch Eier,237,15.1,5.6,375,197
51,69471,Nuss-Nougat-Creme,Aufstriche,417,8.0,0.0,673,219
52,69472,Orange,Obst,47,1.0,0.0,177,23
53,69473,Paprikaschote,Gemüse und Salate,19,1.1,0.0,177,22
54,69474,Paranuss,Nüsse,674,17.6,0.0,1020,500
55,69475,Pfirsich,Obst,41,0.8,0.0,176,25
56,69476,Pizza im Durchschnitt,Brot Gebäck Pizza,216,9.0,1.2,190,155
57,69477,Pommes Frites,Kartoffeln Nudeln und Reis,290,3.0,0.8,560,73
58,69478,Radischen,Gemüse und Salate,15,1.1,0.0,255,26
59,69479,Reis gekocht poliert,Kartoffeln Nudeln und Reis,84,2.0,0.0,31,36
60,69480,Rindfleisch mager,Fleisch Wurst Fisch Eier,129,20.2,0.0,297,174
61,69481,Roggenmischbrot,Brot Gebäck Pizza,212,6.9,0.0,185,136
62,69482,Rote Rübe (Bete roh,Gemüse und Salate,41,1.5,0.0,407,45
63,69483,Rote Rübe Konserve abgetropft,Gemüse und Salate,32,1.4,0.5,215,43
64,69484,Rotkohl (Blaukraut) gegart ohne Salz,Gemüse und Salate,18,1.4,0.0,138,38
65,69485,Rotkohl roh,Gemüse und Salate,23,1.5,0.0,264,30
66,69486,Sahne 30 % Fett,Milch und Milchprodukte,288,2.5,0.0,100,60
67,69487,Salami,Fleisch Wurst Fisch Eier,316,17.2,3.2,314,158
68,69488,Salz,Zucker und Salz,0,0.0,99.0,4,150
69,69489,Salzkartoffeln,Kartoffeln Nudeln und Reis,70,2.0,0.8,338,48
70,69490,Salzstangen,Süßigkeiten Knabbereien,347,9.0,4.3,124,130
71,69491,Schinken gekocht geräuchert,Fleisch Wurst Fisch Eier,193,19.5,2.4,270,136
72,69492,Schokolade Milchschokolade,Süßigkeiten Knabbereien,537,9.2,0.0,466,261
73,69493,Schokolade Vollmilch,Süßigkeiten Knabbereien,507,5.3,0.0,459,220
74,69494,Schokolade weiß,Süßigkeiten Knabbereien,542,5.2,0.0,241,144
75,69495,Schwein Bratenfleisch,Fleisch Wurst Fisch Eier,161,20.4,0.1,290,150
76,69496,Sesam-Samen,Nüsse,565,17.7,0.0,468,607
77,69497,Sojasauce,Soßen Fette,70,8.7,15.0,360,210
78,69498,Spargel Konserve,Gemüse und Salate,15,1.7,0.7,120,30
79,69499,Spargel roh,Gemüse und Salate,18,1.9,0.0,203,46
80,69500,Spätzle (Rohmasse),Kartoffeln Nudeln und Reis,108,3.6,0.0,400,45
81,69501,Tomate,Gemüse und Salate,17,1.0,0.5,242,26
82,69502,Tomatensetchup,Soßen Fette,110,2.1,3.0,590,43
83,69503,Vollkornbrot,Brot Gebäck Pizza,187,6.5,1.4,239,232
84,69504,Walnuss,Nüsse,683,14.4,0.0,544,407
85,69505,Wasser im Durchschnitt,Getränke,0,0.2,0.0,82,15
86,69506,Wassermelone,Obst,38,0.6,0.0,158,11
87,69507,Weintrauben,Obst,71,0.7,0.0,190,20
88,69508,Weizenmischbrot (Sonnenblumen),Brot Gebäck Pizza,274,8.7,1.4,130,102
89,69509,Zitrone,Obst,56,0.7,0.0,149,16
90,69510,Zucchini,Gemüse und Salate,28,1.3,0.0,135,42
91,69511,Zucchini gegart ohne Salz,Gemüse und Salate,19,1.6,0.0,167,23
92,69512,Zucker,Zucker und Salz,405,0.0,0.0,2,0
93,69513,Zwiebelkuchen Hefeteig,Brot Gebäck Pizza,167,4.0,0.0,195,60
94,69514,Öl (Pflanzenöl im Durchschnitt),Soßen Fette,881,0.0,0.0,0,1
